symbol,mode,events,auc,precision,recall,f1,acc,thr,trades
EURUSD=X,fib,104,0.6759259259259259,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6666666666666666,0.44904154714806216,14
EURUSD=X,fib_ind,102,0.787037037037037,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.7142857142857143,0.5105508322302168,13
EURUSD=X,fib_ind_norm,102,0.6481481481481481,0.5,0.5555555555555556,0.5263157894736842,0.5714285714285714,0.5030108822099701,10
GBPUSD=X,fib,72,0.48214285714285715,0.5,0.5,0.5,0.4666666666666667,0.48549045307294925,8
GBPUSD=X,fib_ind,71,0.5357142857142857,0.6,0.75,0.6666666666666666,0.6,0.44825686669493625,10
GBPUSD=X,fib_ind_norm,71,0.5892857142857143,0.42857142857142855,0.375,0.4,0.4,0.5786339386366488,7
USDJPY=X,fib,165,0.4,0.55,0.55,0.55,0.45454545454545453,0.5083027790516669,20
USDJPY=X,fib_ind,156,0.3724696356275303,0.38461538461538464,0.2631578947368421,0.3125,0.3125,0.5466232436916317,13
USDJPY=X,fib_ind_norm,156,0.3238866396761133,0.36363636363636365,0.21052631578947367,0.26666666666666666,0.3125,0.5749307387193539,11
AUDUSD=X,fib,138,0.6153846153846153,0.6,0.6,0.6,0.5714285714285714,0.5067759977180785,15
AUDUSD=X,fib_ind,136,0.13846153846153844,0.3333333333333333,0.4,0.36363636363636365,0.25,0.4914312088902592,18
AUDUSD=X,fib_ind_norm,136,0.2666666666666666,0.5238095238095238,0.7333333333333333,0.6111111111111112,0.5,0.46914334304956595,21
NZDUSD=X,fib,128,0.2180451127819549,0.6,0.47368421052631576,0.5294117647058824,0.38461538461538464,0.5332758184391755,15
NZDUSD=X,fib_ind,117,0.3613445378151261,0.5714285714285714,0.47058823529411764,0.5161290322580645,0.375,0.5360518608250103,14
NZDUSD=X,fib_ind_norm,117,0.3109243697478992,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.625,0.45663495061991566,22
USDCAD=X,fib,65,0.15,0.0,0.0,0.0,0.46153846153846156,0.5250964217632469,2
USDCAD=X,fib_ind,62,0.375,0.0,0.0,0.0,0.46153846153846156,0.49737249987936666,2
USDCAD=X,fib_ind_norm,62,0.30000000000000004,0.0,0.0,0.0,0.6153846153846154,0.5660205830405153,0
USDCHF=X,fib,129,0.24305555555555558,0.5,0.2777777777777778,0.35714285714285715,0.3076923076923077,0.5319094715048976,10
USDCHF=X,fib_ind,126,0.3194444444444445,0.5833333333333334,0.3888888888888889,0.4666666666666667,0.38461538461538464,0.5177502852577868,12
USDCHF=X,fib_ind_norm,126,0.3125,0.6153846153846154,0.4444444444444444,0.5161290322580645,0.4230769230769231,0.5081862233695155,13
USDSGD=X,fib,51,0.5,0.0,0.0,0.0,0.6363636363636364,0.5817669387853869,3
USDSGD=X,fib_ind,51,0.6,0.0,0.0,0.0,0.7272727272727273,0.5699672265632301,2
USDSGD=X,fib_ind_norm,51,0.7,0.0,0.0,0.0,0.6363636363636364,0.48834657052951536,3
EURJPY=X,fib,165,0.1538461538461538,0.1111111111111111,0.14285714285714285,0.125,0.5757575757575758,0.5018564302205971,9
EURJPY=X,fib_ind,162,0.31868131868131866,0.2,0.8571428571428571,0.32432432432432434,0.24242424242424243,0.5396670828871034,30
EURJPY=X,fib_ind_norm,162,0.3021978021978022,0.21428571428571427,0.8571428571428571,0.34285714285714286,0.30303030303030304,0.5655398093939082,28
EURGBP=X,fib,47,,,,,,,0
EURGBP=X,fib_ind,44,,,,,,,0
EURGBP=X,fib_ind_norm,44,,,,,,,0
EURAUD=X,fib,135,0.2357142857142857,0.1875,0.42857142857142855,0.2608695652173913,0.37037037037037035,0.4942557876255655,16
EURAUD=X,fib_ind,125,0.2380952380952381,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.44,0.4658627165707947,11
EURAUD=X,fib_ind_norm,125,0.3174603174603175,0.25,0.2857142857142857,0.26666666666666666,0.56,0.4721794692370832,8
GBPJPY=X,fib,160,0.7590909090909091,0.4166666666666667,1.0,0.5882352941176471,0.5625,0.3814330154283694,24
GBPJPY=X,fib_ind,152,0.8428571428571429,0.47368421052631576,0.9,0.6206896551724138,0.6451612903225806,0.46287165356273896,19
GBPJPY=X,fib_ind_norm,152,0.7714285714285715,0.4090909090909091,0.9,0.5625,0.5483870967741935,0.45827001117469107,22
AUDJPY=X,fib,171,0.6363636363636364,0.37037037037037035,0.7692307692307693,0.5,0.42857142857142855,0.4388586344483895,27
AUDJPY=X,fib_ind,167,0.575091575091575,0.3870967741935484,0.9230769230769231,0.5454545454545454,0.4117647058823529,0.45108742388732914,31
AUDJPY=X,fib_ind_norm,167,0.6410256410256411,0.43478260869565216,0.7692307692307693,0.5555555555555556,0.5294117647058824,0.4843604325725638,23
CADJPY=X,fib,148,0.5324074074074074,0.375,0.75,0.5,0.4,0.43690620127537644,24
CADJPY=X,fib_ind,147,0.5462962962962963,0.43478260869565216,0.8333333333333334,0.5714285714285714,0.5,0.4554204126791938,23
CADJPY=X,fib_ind_norm,147,0.587962962962963,0.42857142857142855,0.75,0.5454545454545454,0.5,0.49704429694336427,21
CHFJPY=X,fib,126,0.9166666666666667,0.6666666666666666,0.75,0.7058823529411765,0.8076923076923077,0.4655345246520261,9
CHFJPY=X,fib_ind,119,0.6953125,0.4,0.75,0.5217391304347826,0.5416666666666666,0.4831508752204973,15
CHFJPY=X,fib_ind_norm,119,0.7421875,0.4,0.75,0.5217391304347826,0.5416666666666666,0.5378922812702988,15
